Date,CR Below WG Flow,FR Above Con,CR Below Lake Granby Flow,CR Near Lake Granby Flow,WC Below Res Flow,AssumedFraserFlow,difference
2020-08-06T00:00:00Z,142,50.352,72.2,76.8,6.38,58.82000000000001,-8.46800000000001
2020-08-07T00:00:00Z,139,48.64,72.6,76.2,6.37,56.42999999999999,-7.789999999999992
2020-08-08T00:00:00Z,135,46.425,73.1,77.1,6.37,51.53,-5.105000000000004
2020-08-09T00:00:00Z,135,45.562,73,76.3,6.36,52.34,-6.778000000000006
2020-08-10T00:00:00Z,133,43.252,73,76.1,6.36,50.540000000000006,-7.288000000000004
2020-08-11T00:00:00Z,130,42.841,73,75.6,6.35,48.05000000000001,-5.20900000000001
2020-08-12T00:00:00Z,133,46.021,74.2,75.3,6.34,51.36,-5.338999999999999
2020-08-13T00:00:00Z,137,47.525,75.6,77.2,6.34,53.459999999999994,-5.934999999999995
2020-08-14T00:00:00Z,138,45.122,78.1,81.4,6.34,50.25999999999999,-5.137999999999991
2020-08-15T00:00:00Z,135,43.186,76,79.7,6.4,48.89999999999999,-5.7139999999999915
2020-08-16T00:00:00Z,134,42.131,77.3,81.3,6.47,46.230000000000004,-4.099000000000004
2020-08-17T00:00:00Z,136,42.551,75.8,82.3,6.59,47.11,-4.5589999999999975
2020-08-18T00:00:00Z,131,40.653,74.4,80.8,6.11,44.09,-3.4370000000000047
2020-08-19T00:00:00Z,129,39.485,74.2,81,6.09,41.91,-2.424999999999997
2020-08-20T00:00:00Z,131,41.242,74,81.2,6.05,43.75,-2.5080000000000027
2020-08-21T00:00:00Z,134,42.78,74,80.9,6.03,47.06999999999999,-4.289999999999992
2020-08-22T00:00:00Z,131,40.802,74,80.9,6.03,44.06999999999999,-3.2679999999999936
2020-08-23T00:00:00Z,127,39.597,74,80.9,6.02,40.08,-0.482999999999997
2020-08-24T00:00:00Z,127,38.797,74.8,81.3,6.02,39.68000000000001,-0.8830000000000098
2020-08-25T00:00:00Z,123,36.719,76.1,82.1,6.04,34.86,1.8590000000000018
2020-08-26T00:00:00Z,122,36.755,75.1,81.3,6.03,34.67,2.085000000000001
2020-08-27T00:00:00Z,128,40.684,75.2,80.4,6.05,41.55,-0.8659999999999997
2020-08-28T00:00:00Z,128,39.67,74.2,82.4,6,39.599999999999994,0.07000000000000739
2020-08-29T00:00:00Z,141,48.563,73.8,82,6.05,52.95,-4.3870000000000005
2020-08-30T00:00:00Z,145,49.048,73.8,81,6.08,57.92,-8.872
2020-08-31T00:00:00Z,138,44.852,74.1,82.3,6.17,49.53,-4.678000000000004
2020-09-01T00:00:00Z,126,46.682,52.9,62.9,5.72,57.379999999999995,-10.697999999999993
2020-09-02T00:00:00Z,114,44.316,52.9,59.9,6.21,47.89,-3.573999999999998
2020-09-03T00:00:00Z,111,40.737,54,60.6,6.23,44.17,-3.433
2020-09-04T00:00:00Z,117,39.132,54.2,61.6,6.22,49.17999999999999,-10.047999999999995
2020-09-05T00:00:00Z,116,37.815,60.1,59.5,6.22,50.28,-12.465000000000003
2020-09-06T00:00:00Z,117,38.116,66.1,61.2,6.21,49.59,-11.474000000000004
2020-09-07T00:00:00Z,120,38.102,65.9,61,6.32,52.68000000000001,-14.57800000000001
2020-09-08T00:00:00Z,135,37.637,65.7,61.9,6.17,66.93,-29.293000000000006
2020-09-09T00:00:00Z,123,38.763,65.1,61.9,6.19,54.91,-16.147
2020-09-10T00:00:00Z,130,39.865,64.1,62.5,6.19,61.31,-21.445
2020-09-11T00:00:00Z,175,56.82,64.7,61.4,6.19,107.41,-50.589999999999996
2020-09-12T00:00:00Z,142,47.98,64.9,62,6.2,73.8,-25.82
2020-09-13T00:00:00Z,131,42.895,64.9,63,6.17,61.83,-18.934999999999995
2020-09-14T00:00:00Z,130,40.854,64.9,62.1,6.27,61.629999999999995,-20.775999999999996
2020-09-15T00:00:00Z,120,38.948,64.9,61.6,6.16,52.239999999999995,-13.291999999999994
2020-09-16T00:00:00Z,113,37.254,65.1,60.9,6.09,46.010000000000005,-8.756000000000007
2020-09-17T00:00:00Z,110,36.123,66,61.5,6.15,42.349999999999994,-6.226999999999997
2020-09-18T00:00:00Z,109,35.936,63.8,66.1,6.14,36.760000000000005,-0.8240000000000052
2020-09-19T00:00:00Z,104,35.8,55.4,62.4,6.36,35.239999999999995,0.5600000000000023
2020-09-20T00:00:00Z,98.9,35.42,55,61.7,6.67,30.53,4.890000000000001
2020-09-21T00:00:00Z,99.1,35.157,54.1,60.7,6.66,31.739999999999995,3.4170000000000016
2020-09-22T00:00:00Z,98.5,35.121,53.5,61,6.74,30.760000000000005,4.360999999999997
2020-09-23T00:00:00Z,86.2,35.08,33.9,43.5,6.67,36.03,-0.9500000000000028
2020-09-24T00:00:00Z,77.4,35.056,38.7,41.3,6.61,29.49000000000001,5.565999999999988
2020-09-25T00:00:00Z,75.2,35.116,42,40.1,6.62,28.480000000000004,6.635999999999996
2020-09-26T00:00:00Z,74.7,35.058,42.8,40.3,6.62,27.78000000000001,7.277999999999992
2020-09-27T00:00:00Z,73.7,35.056,43.1,40.7,6.61,26.39,8.665999999999997
2020-09-28T00:00:00Z,75,35.063,35.7,41.7,6.6,26.699999999999996,8.363000000000007
2020-09-29T00:00:00Z,76.3,35.176,30.7,40.7,6.74,28.859999999999992,6.31600000000001
2020-09-30T00:00:00Z,76.6,35.174,31,40.4,6.76,29.439999999999998,5.734000000000002
2020-10-01T00:00:00Z,83,35.245,42,48.8,6.37,27.830000000000005,7.414999999999992
2020-10-02T00:00:00Z,88.3,35.413,41.8,50.1,6.3,31.9,3.512999999999998
2020-10-03T00:00:00Z,92.7,37.349,41.7,50,6.29,36.410000000000004,0.938999999999993
2020-10-04T00:00:00Z,98.3,38.671,42.2,50.8,6.28,41.22,-2.5489999999999995
2020-10-05T00:00:00Z,99.1,38.53,42.2,49.8,6.28,43.019999999999996,-4.489999999999995
2020-10-06T00:00:00Z,97.2,37.411,42.2,50.2,6.27,40.730000000000004,-3.3190000000000026
2020-10-07T00:00:00Z,96.1,37.024,41.1,49.4,6.41,40.28999999999999,-3.265999999999991
2020-10-08T00:00:00Z,97.4,37.35,41.3,49.2,6.46,41.74,-4.390000000000001
2020-10-09T00:00:00Z,101,38.339,42,49.9,6.25,44.85,-6.511000000000003
2020-10-10T00:00:00Z,101,37.66,30.6,41.6,6.26,53.14,-15.480000000000004
2020-10-11T00:00:00Z,84.2,38.268,20.6,29.3,6.23,48.67,-10.402000000000001
2020-10-12T00:00:00Z,83.6,40.096,19.7,28.4,6.22,48.98,-8.884
2020-10-13T00:00:00Z,85.4,41.447,19.6,28.2,6.21,50.99000000000001,-9.543000000000006
2020-10-14T00:00:00Z,85.1,40.678,19.9,28.2,6.21,50.69,-10.012
2020-10-15T00:00:00Z,81.4,38.481,20.1,27.3,6.17,47.93000000000001,-9.449000000000005
2020-10-16T00:00:00Z,76.9,38.002,20.1,27.2,6.31,43.39000000000001,-5.388000000000005
2020-10-17T00:00:00Z,76,37.864,20.1,27.6,6.42,41.98,-4.116
2020-10-18T00:00:00Z,77.7,38.721,20,27.5,6.37,43.830000000000005,-5.109000000000009
2020-10-19T00:00:00Z,78.9,38.841,20,27.8,6.37,44.730000000000004,-5.889000000000003
2020-10-20T00:00:00Z,77.8,38.893,19.7,27.5,6.31,43.989999999999995,-5.096999999999994
2020-10-21T00:00:00Z,78.4,39.997,19.7,27.1,6.32,44.980000000000004,-4.983000000000004
2020-10-22T00:00:00Z,77.2,40.14,21.5,28.1,6.32,42.78,-2.6400000000000006
2020-10-23T00:00:00Z,65.6,37.176,21.5,28.2,6.18,31.22,5.956000000000003
